procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  1      0 7043484  43012 709896    0    0   356   254   32  205  1  1 95  2  0 2021-12-09 08:15:49
 0  0      0 7036832  43020 721856    0    0 11860    60  452 3175  8  7 60 26  0 2021-12-09 08:15:50
 0  1      0 7047508  43076 727056    0    0  5388  1644  310 2121  2  3 32 63  0 2021-12-09 08:15:51
 0  1      0 7025832  43516 734996    0    0  8280  1328  473 2705  8  4 55 33  0 2021-12-09 08:15:52
 0  1      0 7007604  43732 742464    0    0  7400   576  942 6680 14 11 48 28  0 2021-12-09 08:15:53
 0  1      0 7007880  44152 748780    0    0  6776  1312  463 3046  6  4 40 51  0 2021-12-09 08:15:54
 0  3      0 6996888  44252 748784    0    0    44  1376  961 4561 26  9 42 23  0 2021-12-09 08:15:55
 1  2      0 6984340  44452 752428    0    0  3188  2468  514 5694 15 15 27 42  0 2021-12-09 08:15:56
 1  3      0 6852276  44576 754124    0    0  1380   980 1325 16728 48 34 10  8  0 2021-12-09 08:15:57
 1  1      0 6926744  44952 771892    0    0 17380   688 1029 9108 27  7  6 60  0 2021-12-09 08:15:58
 0  0      0 6924688  45348 772752    0    0   632  2548  870 8741 34  5 45 16  0 2021-12-09 08:15:59
 1  0      0 6915340  45440 774168    0    0  1340   428  677 5070 28  3 64  6  0 2021-12-09 08:16:00
 3  0      0 6911612  45856 774824    0    0   556  1064 1181 8985 39  4 46 11  0 2021-12-09 08:16:01
 1  0      0 6914392  46024 775072    0    0    96   760 1003 7959 42  7 45  6  0 2021-12-09 08:16:02
 1  1      0 6915784  46272 775308    0    0     0  1156 1002 8033 38  7 47  8  0 2021-12-09 08:16:03
 0  1      0 6914684  46472 780652    0    0  5132   756  948 6288 24  7 51 18  0 2021-12-09 08:16:04
 0  1      0 6880828  46496 787576    0    0  6916    64  414 2457 26  4 55 15  0 2021-12-09 08:16:05
 0  3      0 6879452  46696 787912    0    0   180  2972  292 2011  6  1 14 79  0 2021-12-09 08:16:06
 0  2      0 6878844  47388 788484    0    0   492  2992  236 2730  3  4 20 72  0 2021-12-09 08:16:07
 5  1      0 6804352  47596 791024    0    0  2084  2304  920 9213 21 17 24 38  0 2021-12-09 08:16:08
