Linux 5.11.0-1022-azure (MsVM9) 	12/08/21 	_x86_64_	(2 CPU)

19:44:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:44:04        all      1.02      0.00      2.04      0.00      0.00     96.94
19:44:05        all      2.50      0.00      1.50      0.00      0.00     96.00
19:44:06        all      1.03      0.00      0.51      0.00      0.00     98.46
19:44:07        all      2.50      0.00      1.50      0.00      0.00     96.00
19:44:08        all      2.50      0.00      1.50      0.00      0.00     96.00
19:44:09        all      2.05      0.00      1.54      0.00      0.00     96.41
19:44:10        all      2.50      0.00      0.50      0.00      0.00     97.00
19:44:11        all      1.02      0.00      1.02      0.00      0.00     97.96
19:44:12        all      3.06      0.00      1.02      0.00      0.00     95.92
19:44:13        all      4.04      0.00      1.01      0.00      0.00     94.95
19:44:14        all      2.51      0.00      1.01      0.00      0.00     96.48
19:44:15        all      1.51      0.00      1.51      0.00      0.00     96.98
19:44:16        all      2.05      0.00      2.05      0.00      0.00     95.90
19:44:17        all      4.48      0.00      1.99      0.00      0.00     93.53
19:44:18        all      2.00      0.00      3.00      0.00      0.00     95.00
19:44:19        all      3.08      0.00      0.00      0.00      0.00     96.92
19:44:20        all      2.03      0.00      1.52      0.00      0.00     96.45
19:44:21        all     45.73      0.00     19.60      2.01      0.00     32.66
19:44:22        all     58.79      0.00      8.54      7.04      0.00     25.63
19:44:23        all     25.26      0.00      6.19     30.93      0.00     37.63
19:44:24        all     16.41      0.00     11.28     37.44      0.00     34.87
19:44:25        all     10.05      0.00     11.56     41.71      0.00     36.68
19:44:26        all     67.88      0.00     21.24      0.52      0.00     10.36
19:44:27        all     86.00      0.00     12.50      0.00      0.00      1.50
19:44:28        all     91.00      0.00      8.00      0.00      0.00      1.00
19:44:29        all     86.29      0.00     10.66      0.00      0.00      3.05
19:44:30        all     83.42      0.00     12.06      0.00      0.00      4.52
19:44:31        all     92.50      0.00      7.00      0.00      0.00      0.50
19:44:32        all     92.96      0.00      7.04      0.00      0.00      0.00
19:44:33        all     91.96      0.00      8.04      0.00      0.00      0.00
19:44:34        all     94.53      0.00      5.47      0.00      0.00      0.00
19:44:35        all     93.03      0.00      6.97      0.00      0.00      0.00
19:44:36        all     90.50      0.00      9.50      0.00      0.00      0.00
19:44:37        all     70.05      0.00      7.61      0.00      0.00     22.34
19:44:38        all     31.00      0.00      7.50     23.50      0.00     38.00
19:44:39        all     23.08      0.00      7.18     24.10      0.00     45.64
19:44:40        all     41.92      0.00      7.07      3.03      0.00     47.98
19:44:41        all      2.53      0.00      3.03     40.40      0.00     54.04
19:44:42        all     12.37      0.00      8.76     36.08      0.00     42.78
19:44:43        all     39.49      0.00     11.28     22.56      0.00     26.67
19:44:44        all     54.73      0.00     20.90      0.00      0.00     24.38
19:44:45        all      8.12      0.00      4.57     82.74      0.00      4.57
19:44:46        all      2.03      0.00      1.52     90.36      0.00      6.09
19:44:47        all     13.57      0.00      7.04     39.70      0.00     39.70
19:44:48        all     10.26      0.00      8.21     45.64      0.00     35.90
19:44:49        all     21.03      0.00      4.62     35.38      0.00     38.97
19:44:50        all     21.94      0.00     14.29     23.98      0.00     39.80
19:44:51        all      8.63      0.00     11.68     39.09      0.00     40.61
19:44:52        all     69.59      0.00     20.10      1.03      0.00      9.28
19:44:53        all     85.57      0.00     13.43      0.00      0.00      1.00
19:44:54        all     89.34      0.00      9.14      0.00      0.00      1.52
19:44:55        all     87.37      0.00     10.10      0.00      0.00      2.53
19:44:56        all     88.06      0.00      9.45      0.00      0.00      2.49
19:44:57        all     94.00      0.00      5.50      0.00      0.00      0.50
19:44:58        all     94.00      0.00      5.50      0.00      0.00      0.50
19:44:59        all     90.50      0.00      9.50      0.00      0.00      0.00
19:45:00        all     90.45      0.00      9.05      0.00      0.00      0.50
19:45:01        all     93.47      0.00      6.03      0.00      0.00      0.50
19:45:02        all     85.93      0.00      8.04      0.00      0.00      6.03
19:45:03        all     65.83      0.00      8.54      0.00      0.00     25.63
19:45:04        all     24.62      0.00      6.53     29.65      0.00     39.20
19:45:05        all     30.46      0.00      8.63     13.71      0.00     47.21
19:45:06        all     29.08      0.00      7.65      5.61      0.00     57.65
19:45:07        all      2.51      0.00      3.52     55.78      0.00     38.19
19:45:08        all      9.18      0.00      8.16     42.35      0.00     40.31
19:45:09        all     53.77      0.00     13.07      5.53      0.00     27.64
19:45:10        all     44.85      0.00     21.65      9.79      0.00     23.71
19:45:11        all      3.06      0.00      1.02     68.88      0.00     27.04
19:45:12        all      3.61      0.00      2.58     48.45      0.00     45.36
19:45:13        all     12.50      0.00      8.00     46.50      0.00     33.00
19:45:14        all      9.55      0.00      8.04     44.22      0.00     38.19
19:45:15        all     14.65      0.00      4.04     45.96      0.00     35.35
19:45:16        all     16.08      0.00      5.03      8.54      0.00     70.35
19:45:17        all      2.05      0.00      0.51      0.00      0.00     97.44
19:45:18        all     22.28      0.00      9.90     12.87      0.00     54.95
19:45:19        all      5.10      0.00      2.55      0.00      0.00     92.35
19:45:20        all      3.54      0.00      1.52      0.00      0.00     94.95
19:45:21        all     12.18      0.00      4.57      6.09      0.00     77.16
19:45:22        all      5.10      0.00      0.51      0.00      0.00     94.39
19:45:23        all      3.08      0.00      1.54      0.00      0.00     95.38
19:45:24        all      3.54      0.00      2.02      0.00      0.00     94.44
19:45:25        all     16.49      0.00      6.19     10.82      0.00     66.49
19:45:26        all      3.02      0.00      6.53      0.00      0.00     90.45
19:45:27        all     12.24      0.00      6.63      7.65      0.00     73.47
19:45:28        all      3.54      0.00      1.52      0.00      0.00     94.95
19:45:29        all      4.55      0.00      1.52      0.00      0.00     93.94
19:45:30        all      6.60      0.00      3.55      0.00      0.00     89.85
19:45:31        all      1.54      0.00      1.03      0.00      0.00     97.44
19:45:32        all      4.48      0.00      1.99      0.00      0.00     93.53
19:45:33        all     13.13      0.00      4.04      0.00      0.00     82.83
19:45:34        all      4.06      0.00      1.52      0.00      0.00     94.42
19:45:35        all      2.02      0.00      2.02      0.00      0.00     95.96
19:45:36        all     42.00      0.00      9.50     33.50      0.00     15.00
19:45:37        all     32.32      0.00     19.19     35.35      0.00     13.13
19:45:38        all     14.87      0.00     11.28      2.56      0.00     71.28
19:45:39        all      7.04      0.00      2.01      0.00      0.00     90.95
19:45:40        all      5.08      0.00      3.05      0.00      0.00     91.88
19:45:41        all      3.05      0.00      1.02      0.00      0.00     95.94
19:45:42        all      4.52      0.00      2.51      0.00      0.00     92.96
19:45:43        all      9.00      0.00      3.50      0.00      0.00     87.50
19:45:44        all      3.03      0.00      2.53      0.00      0.00     94.44
19:45:45        all      1.52      0.00      1.52      0.00      0.00     96.95
