procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 5734980 117476 1329928    0    0    30    56   65  484  1  1 97  1  0 2021-12-08 19:44:05
 0  0      0 5734712 117476 1329924    0    0     0     0  416 3557  2  1 97  0  0 2021-12-08 19:44:06
 0  0      0 5734712 117476 1329924    0    0     0     0  399 3618  2  2 96  0  0 2021-12-08 19:44:07
 0  0      0 5734712 117476 1329924    0    0     0     0  438 3826  2  1 97  0  0 2021-12-08 19:44:08
 0  0      0 5734172 117476 1329924    0    0     0     0  631 4142  3  2 96  0  0 2021-12-08 19:44:09
 0  0      0 5734208 117476 1329924    0    0     0     4  529 3895  3  1 97  0  0 2021-12-08 19:44:10
 1  0      0 5734208 117476 1329924    0    0     0     0  640 3965  1  1 98  0  0 2021-12-08 19:44:11
 0  0      0 5734208 117476 1329924    0    0     0     0  466 3727  3  1 96  0  0 2021-12-08 19:44:12
 0  0      0 5734440 117476 1329924    0    0     0     0  611 4575  4  1 95  0  0 2021-12-08 19:44:13
 0  0      0 5734460 117476 1329924    0    0     0     0  396 3690  3  1 97  0  0 2021-12-08 19:44:14
 0  0      0 5734460 117476 1329924    0    0     0     0  444 3779  2  2 96  0  0 2021-12-08 19:44:15
 0  0      0 5734460 117476 1329924    0    0     0     4  436 3743  1  1 98  0  0 2021-12-08 19:44:16
 0  0      0 5714660 117476 1329924    0    0     0     0  667 5042  5  3 92  0  0 2021-12-08 19:44:17
 0  0      0 5714660 117476 1329928    0    0     0     0  640 4650  2  3 95  0  0 2021-12-08 19:44:18
 0  0      0 5714408 117476 1329928    0    0     0     0  525 4392  3  1 96  0  0 2021-12-08 19:44:19
 0  0      0 5714156 117476 1329928    0    0     0     0  665 4479  2  2 96  0  0 2021-12-08 19:44:20
 2  0      0 5696616 117484 1330120    0    0   316     0 1166 8542 41 16 40  3  0 2021-12-08 19:44:21
 1  0      0 5695496 117484 1330516    0    0   256   888  972 9403 59 12 23  7  0 2021-12-08 19:44:22
 0  2      0 5656532 117484 1335048    0    0     0 19560 1531 9010 30  6 38 25  0 2021-12-08 19:44:23
 3  0      0 5614864 117492 1340960    0    0     0  1312 1660 11080 12  8 37 43  0 2021-12-08 19:44:24
 0  1      0 5638036 117500 1351336    0    0   232 16228 1853 12493 12 11 35 42  0 2021-12-08 19:44:25
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
