Linux 5.11.0-1022-azure (MsVM9) 	12/09/21 	_x86_64_	(2 CPU)

12:56:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:56:05        all      2.03      0.00      3.05      0.00      0.00     94.92
12:56:06        all      3.52      0.00      2.51      0.50      0.00     93.47
12:56:07        all      2.97      0.00      2.97      0.00      0.00     94.06
12:56:08        all      3.63      0.00      2.59      0.00      0.00     93.78
12:56:09        all      3.02      0.00      2.01      0.00      0.00     94.97
12:56:10        all      4.95      0.00      3.47      0.00      0.00     91.58
12:56:11        all     27.14      0.00      5.53      0.00      0.00     67.34
12:56:12        all     76.00      0.00      5.50      0.00      0.00     18.50
12:56:13        all     15.92      0.00      5.47      0.00      0.00     78.61
12:56:14        all      7.50      0.00      2.00      0.00      0.00     90.50
12:56:15        all     18.41      0.00      5.97      6.97      0.00     68.66
12:56:16        all      3.08      0.00      1.54      0.00      0.00     95.38
12:56:17        all     10.61      0.00      6.57      3.54      0.00     79.29
12:56:18        all      6.47      0.00      4.48      0.00      0.00     89.05
12:56:19        all      4.50      0.00      2.00      0.00      0.00     93.50
12:56:20        all     15.23      0.00      7.11     13.20      0.00     64.47
12:56:21        all      2.03      0.00      3.05      0.00      0.00     94.92
12:56:22        all     14.57      0.00      5.03      5.03      0.00     75.38
12:56:23        all      7.54      0.00      2.51      0.00      0.00     89.95
12:56:24        all      5.53      0.00      1.51      0.00      0.00     92.96
12:56:25        all     12.24      0.00      5.10      3.57      0.00     79.08
12:56:26        all      3.06      0.00      1.53      0.00      0.00     95.41
12:56:27        all     12.12      0.00      5.56      5.05      0.00     77.27
12:56:28        all      2.53      0.00      2.53      0.00      0.00     94.95
12:56:29        all      8.63      0.00      5.58      3.05      0.00     82.74
12:56:30        all     11.82      0.00      6.40      0.49      0.00     81.28
12:56:31        all      4.95      0.00      8.91      0.00      0.00     86.14
12:56:32        all     17.41      0.00      4.48      4.98      0.00     73.13
12:56:33        all      5.47      0.00      2.99      0.00      0.00     91.54
12:56:34        all     16.34      0.00      8.91      5.94      0.00     68.81
12:56:35        all      4.46      0.00      4.46      0.00      0.00     91.09
12:56:36        all      3.41      0.00      4.88      0.00      0.00     91.71
12:56:37        all     16.08      0.00      5.03      6.03      0.00     72.86
12:56:38        all      5.56      0.00      2.02      0.00      0.00     92.42
12:56:39        all     14.21      0.00      6.60      4.06      0.00     75.13
12:56:40        all      4.10      0.00      2.05      0.00      0.00     93.85
12:56:41        all      6.60      0.00      1.52      0.00      0.00     91.88
12:56:42        all     21.11      0.00      6.03      4.52      0.00     68.34
12:56:43        all      4.57      0.00      2.03      0.00      0.00     93.40
12:56:44        all     13.64      0.00      4.55      4.04      0.00     77.78
12:56:45        all      5.05      0.00      3.54      0.00      0.00     91.41
12:56:46        all      7.04      0.00      3.52      2.51      0.00     86.93
12:56:47        all     11.56      0.00      4.52      2.51      0.00     81.41
12:56:48        all      5.10      0.00      4.08      0.00      0.00     90.82
12:56:49        all     10.31      0.00      3.09      5.15      0.00     81.44
12:56:50        all      6.97      0.00      2.49      0.00      0.00     90.55
12:56:51        all     10.71      0.00      4.59      6.12      0.00     78.57
12:56:52        all      5.56      0.00      2.53      0.00      0.00     91.92
12:56:53        all      4.55      0.00      3.03      0.00      0.00     92.42
12:56:54        all     15.82      0.00      5.10      4.59      0.00     74.49
12:56:55        all      3.00      0.00      3.00      0.00      0.00     94.00
12:56:56        all     10.10      0.00      4.04      5.05      0.00     80.81
12:56:57        all      6.53      0.00      3.02      0.00      0.00     90.45
12:56:58        all      6.44      0.00      3.96      0.99      0.00     88.61
12:56:59        all     11.17      0.00      3.55      3.55      0.00     81.73
12:57:00        all      3.02      0.00      2.51      0.00      0.00     94.47
12:57:01        all      8.63      0.00      5.58      5.58      0.00     80.20
12:57:02        all      8.16      0.00      2.04      0.00      0.00     89.80
12:57:03        all     10.20      0.00      5.10      4.59      0.00     80.10
12:57:04        all      6.47      0.00      2.49      0.00      0.00     91.04
12:57:05        all      3.54      0.00      3.03      0.00      0.00     93.43
12:57:06        all     15.15      0.00      6.06      6.57      0.00     72.22
12:57:07        all      5.53      0.00      3.52      0.00      0.00     90.95
12:57:08        all     11.11      0.00      5.56      8.08      0.00     75.25
12:57:09        all      5.08      0.00      3.05      0.00      0.00     91.88
12:57:10        all      5.56      0.00      2.53      0.00      0.00     91.92
12:57:11        all     10.82      0.00      5.67      6.19      0.00     77.32
12:57:12        all      4.46      0.00      2.48      0.00      0.00     93.07
12:57:13        all     13.20      0.00      3.55      7.11      0.00     76.14
12:57:14        all      6.47      0.00      4.98      0.00      0.00     88.56
12:57:15        all      2.99      0.00      2.99      1.99      0.00     92.04
12:57:16        all     15.58      0.00      7.04      7.04      0.00     70.35
12:57:17        all      4.04      0.00      3.54      0.00      0.00     92.42
12:57:18        all     21.54      0.00      5.13     10.26      0.00     63.08
12:57:19        all      3.52      0.00      4.02      0.00      0.00     92.46
12:57:20        all      3.52      0.00      2.51      3.02      0.00     90.95
12:57:21        all     13.71      0.00      7.11      3.55      0.00     75.63
12:57:22        all      8.54      0.00      4.52      0.00      0.00     86.93
12:57:23        all     13.50      0.00      4.50      4.50      0.00     77.50
12:57:24        all      3.57      0.00      3.06      0.00      0.00     93.37
12:57:25        all      7.18      0.00      2.56      3.08      0.00     87.18
12:57:26        all     10.45      0.00      3.98      1.49      0.00     84.08
12:57:27        all      3.03      0.00      4.04      0.00      0.00     92.93
12:57:28        all      9.64      0.00      5.08      4.57      0.00     80.71
12:57:29        all      4.08      0.00      1.02      0.00      0.00     94.90
12:57:30        all     14.07      0.00      5.53      3.52      0.00     76.88
12:57:31        all      4.95      0.00      8.91      0.00      0.00     86.14
12:57:32        all      7.46      0.00      3.98      0.00      0.00     88.56
12:57:33        all     14.14      0.00      4.04      5.05      0.00     76.77
12:57:34        all      6.57      0.00      2.02      0.00      0.00     91.41
12:57:35        all     13.50      0.00      4.50      6.00      0.00     76.00
12:57:36        all      3.06      0.00      2.04      0.00      0.00     94.90
12:57:37        all      8.87      0.00      3.94      2.46      0.00     84.73
12:57:38        all      9.74      0.00      5.64      2.05      0.00     82.56
12:57:39        all      3.52      0.00      1.01      0.00      0.00     95.48
12:57:40        all     11.79      0.00      3.08      9.74      0.00     75.38
12:57:41        all      3.05      0.00      1.02      0.00      0.00     95.94
12:57:42        all     13.33      0.00      6.67      4.62      0.00     75.38
12:57:43        all      5.50      0.00      4.00      0.00      0.00     90.50
12:57:44        all      4.43      0.00      3.45      0.00      0.00     92.12
12:57:45        all     12.63      0.00      4.55      4.55      0.00     78.28
12:57:46        all      5.45      0.00      3.47      0.00      0.00     91.09
12:57:47        all     12.56      0.00      5.53      5.53      0.00     76.38
12:57:48        all      3.03      0.00      2.53      0.00      0.00     94.44
12:57:49        all      3.45      0.00      3.45      0.99      0.00     92.12
12:57:50        all     17.17      0.00      4.55      4.55      0.00     73.74
12:57:51        all      3.11      0.00      1.04      0.00      0.00     95.85
12:57:52        all     14.29      0.00      7.14      5.61      0.00     72.96
12:57:53        all      5.53      0.00      2.01      0.00      0.00     92.46
12:57:54        all      8.16      0.00      4.08      2.04      0.00     85.71
