procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 5119452 114256 1310360    0    0    67   103  400  461  6  3 90  1  0 2021-12-09 10:18:10
 0  0      0 5118704 114256 1310364    0    0     0     0  701 5696  5  3 92  0  0 2021-12-09 10:18:11
 0  0      0 5118452 114256 1310364    0    0     0     0  848 6239  4  2 94  0  0 2021-12-09 10:18:12
 0  1      0 5118452 114256 1310364    0    0     0    56  703 5896  3  4 92  0  0 2021-12-09 10:18:13
 9  0      0 5108112 114256 1310364    0    0     0     0  692 5923 10  3 87  0  0 2021-12-09 10:18:14
 2  0      0 5069808 114256 1310364    0    0     0     0  393 8859 69 11 20  0  0 2021-12-09 10:18:15
 0  0      0 5045552 114256 1310372    0    0     0     0  550 7141 64  7 29  0  0 2021-12-09 10:18:16
 0  0      0 5044796 114256 1310376    0    0     0    68  658 5290  5  2 93  0  0 2021-12-09 10:18:17
 4  1      0 5044292 114276 1310392    0    0     0   304  740 7966  7  4 87  3  0 2021-12-09 10:18:18
 0  0      0 5043536 114300 1310464    0    0     0   404 1374 10294 12  5 79  4  0 2021-12-09 10:18:19
 0  0      0 5042528 114300 1310464    0    0     0     4  878 6274  5  3 92  0  0 2021-12-09 10:18:20
 0  0      0 5042024 114352 1310572    0    0     0   716 1650 11419 11  7 78  5  0 2021-12-09 10:18:21
 0  0      0 5042024 114352 1310572    0    0     0     0 1068 7771  6  4 90  0  0 2021-12-09 10:18:22
 0  0      0 5042024 114352 1310572    0    0     0     0  910 6099  3  3 94  0  0 2021-12-09 10:18:23
 9  0      0 5042276 114396 1310668    0    0     0   720 1540 11301 13  5 76  6  0 2021-12-09 10:18:24
 1  0      0 5042276 114396 1310676    0    0     0     0  689 5654  3  3 94  0  0 2021-12-09 10:18:25
 0  0      0 5041528 114444 1310780    0    0     0   732 1289 11099 17  7 70  5  0 2021-12-09 10:18:26
 0  0      0 5041260 114444 1310780    0    0     0     0  762 5739  6  2 92  0  0 2021-12-09 10:18:27
 1  0      0 5040260 114444 1310780    0    0     0     0  622 5276  4  3 93  0  0 2021-12-09 10:18:28
13  0      0 5041260 114472 1310872    0    0     0   696 1563 12000 13  5 77  4  0 2021-12-09 10:18:29
 0  0      0 5041268 114472 1310872    0    0     0     0 1363 8943  4  8 88  0  0 2021-12-09 10:18:30
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5041268 114524 1310984    0    0     0   700 1794 11815 12  5 79  5  0 2021-12-09 10:18:31
 0  0      0 5041268 114524 1310984    0    0     0     4  649 5403  5  4 91  0  0 2021-12-09 10:18:32
 0  0      0 5041268 114524 1310992    0    0     0     0  653 5056  4  4 93  0  0 2021-12-09 10:18:33
 0  0      0 5041016 114568 1311096    0    0     0   744 1657 11183 10  8 77  5  0 2021-12-09 10:18:34
 0  0      0 5040764 114568 1311096    0    0     0     0  603 5104  3  2 95  0  0 2021-12-09 10:18:35
 0  0      0 5040008 114592 1311184    0    0     0   708 1611 11641 14  6 75  4  0 2021-12-09 10:18:36
 0  0      0 5040008 114592 1311188    0    0     0     0  747 6751 13  4 83  0  0 2021-12-09 10:18:37
 0  0      0 5040008 114592 1311188    0    0     0     4  804 5711  3  3 94  0  0 2021-12-09 10:18:38
 0  0      0 5039504 114620 1311292    0    0     0   744 1634 11215 12  5 78  4  0 2021-12-09 10:18:39
 0  0      0 5039504 114620 1311292    0    0     0     0  680 5072  4  2 94  0  0 2021-12-09 10:18:40
 0  0      0 5039504 114648 1311400    0    0     0   712 1347 11669 15  3 79  4  0 2021-12-09 10:18:41
 0  0      0 5039000 114648 1311404    0    0     0     0 1010 6592  7  1 92  0  0 2021-12-09 10:18:42
 0  0      0 5038748 114648 1311404    0    0     0    28  933 6190  4  3 92  0  0 2021-12-09 10:18:43
 0  0      0 5039000 114696 1311512    0    0     0   748 1378 11334 13  5 76  5  0 2021-12-09 10:18:44
 0  0      0 5039252 114696 1311512    0    0     0     0  901 5982  4  3 94  0  0 2021-12-09 10:18:45
11  0      0 5039236 114736 1311528    0    0     0   664 1175 8916 13  4 79  5  0 2021-12-09 10:18:46
 1  0      0 5038984 114736 1311612    0    0     0    44  886 6615  8  2 90  0  0 2021-12-09 10:18:47
 2  0      0 5038228 114736 1311612    0    0     0    80  832 6376  4  4 92  0  0 2021-12-09 10:18:48
 0  0      0 5038228 114772 1311720    0    0     0   776 1426 10141 11  6 66 18  0 2021-12-09 10:18:49
 0  0      0 5038228 114772 1311728    0    0     0     4  733 6171  7  3 90  0  0 2021-12-09 10:18:50
 0  0      0 5038984 114772 1311728    0    0     0     0 1126 8099  4  4 92  0  0 2021-12-09 10:18:51
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5038220 114832 1311828    0    0     0   736 1227 9837 11  7 78  4  0 2021-12-09 10:18:52
 0  0      0 5038220 114832 1311828    0    0     0   260  687 5111  3  3 94  0  0 2021-12-09 10:18:53
 0  0      0 5038220 114872 1311916    0    0     0   760 1266 10233 13  6 78  4  0 2021-12-09 10:18:54
 0  0      0 5038220 114872 1311916    0    0     0     0  993 6719  6  3 91  0  0 2021-12-09 10:18:55
 0  0      0 5036960 114872 1311916    0    0     0     4  751 5831  9  3 89  0  0 2021-12-09 10:18:56
 0  0      0 5037968 114928 1312024    0    0     0   744 1623 11847 16  5 75  5  0 2021-12-09 10:18:57
 0  0      0 5037968 114928 1312032    0    0     0     0  763 6259  7  3 90  0  0 2021-12-09 10:18:58
 8  1      0 5037968 114956 1312044    0    0     0   676 1124 9458 15  6 75  4  0 2021-12-09 10:18:59
 0  0      0 5037968 114956 1312128    0    0     0    36  928 7509  8  4 89  0  0 2021-12-09 10:19:00
 0  0      0 5037708 114956 1312128    0    0     0     0  775 5659  4  2 94  0  0 2021-12-09 10:19:01
 8  0      0 5037724 114996 1312236    0    0     0   796 1674 12295 13  7 76  4  0 2021-12-09 10:19:02
 0  0      0 5037716 114996 1312236    0    0     0     0  562 4658  3  2 95  0  0 2021-12-09 10:19:03
 8  0      0 5037716 115024 1312264    0    0     0   424  983 8986  7  5 85  3  0 2021-12-09 10:19:04
10  0      0 5037716 115036 1312332    0    0     0   296 1188 9396  7  3 89  1  0 2021-12-09 10:19:05
 0  0      0 5038220 115036 1312340    0    0     0     0  925 6850  9  3 89  0  0 2021-12-09 10:19:06
 0  0      0 5037968 115088 1312448    0    0     0   752 1636 11364 11  4 70 15  0 2021-12-09 10:19:07
 0  0      0 5037968 115088 1312448    0    0     0     4  861 5992  5  1 94  0  0 2021-12-09 10:19:08
 0  0      0 5037968 115088 1312448    0    0     0     0 1072 7014  4  2 95  0  0 2021-12-09 10:19:09
 0  0      0 5037692 115172 1312596    0    0     0  1752 1860 12836 15  7 68 10  0 2021-12-09 10:19:10
 0  0      0 5037464 115172 1312736    0    0     0     0  752 6057  4  3 92  0  0 2021-12-09 10:19:11
 0  0      0 5037212 115196 1312816    0    0     0   768 1233 10065 11  4 79  6  0 2021-12-09 10:19:12
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5036960 115196 1312820    0    0     0    24  867 6346  6  2 92  0  0 2021-12-09 10:19:13
 0  0      0 5036456 115196 1312828    0    0     0     4  963 6426  3  4 93  0  0 2021-12-09 10:19:14
 0  0      0 5036708 115216 1312936    0    0     0   788 1202 11136 11  6 78  5  0 2021-12-09 10:19:15
 2  0      0 5036708 115216 1312936    0    0     0     0  519 5642  9  4 87  0  0 2021-12-09 10:19:16
 2  0      0 5036204 115260 1313032    0    0     0   716 1316 11199 10  3 83  4  0 2021-12-09 10:19:17
 1  0      0 5036204 115260 1313032    0    0     0    28  778 6085  8  2 90  0  0 2021-12-09 10:19:18
 5  0      0 5038472 115260 1309936    0    0     0     0  707 5462  3  3 94  0  0 2021-12-09 10:19:19
 2  0      0 5037716 115320 1310044    0    0     0   776 1476 12005 11  6 76  8  0 2021-12-09 10:19:20
 1  0      0 5037968 115320 1310044    0    0     0     0  940 6928  3  2 95  0  0 2021-12-09 10:19:21
 0  1      0 5037968 115336 1310072    0    0     0   204  997 7286  6  2 83  9  0 2021-12-09 10:19:22
 0  0      0 5037968 115364 1310140    0    0     0   580 1579 10531 13  5 80  3  0 2021-12-09 10:19:23
 0  0      0 5037968 115364 1310140    0    0     0     0  596 5019  4  2 95  0  0 2021-12-09 10:19:24
 9  0      0 5037464 115416 1310252    0    0     0   740 1282 10593 12  5 79  5  0 2021-12-09 10:19:25
 0  0      0 5039228 115416 1310256    0    0     0     4 1119 8393  9  4 87  0  0 2021-12-09 10:19:26
 0  0      0 5039228 115416 1310256    0    0     0     0  812 6151  4  3 94  0  0 2021-12-09 10:19:27
 0  0      0 5039228 115460 1310340    0    0     0   720 1411 10694 14  5 77  4  0 2021-12-09 10:19:28
 0  0      0 5039480 115460 1310340    0    0     0   332  824 6570  4  3 93  1  0 2021-12-09 10:19:29
 0  0      0 5039480 115504 1310428    0    0     0   724 1392 12703 13 12 70  6  0 2021-12-09 10:19:30
 1  0      0 5039480 115504 1310436    0    0     0     0 1039 7118  7  3 90  0  0 2021-12-09 10:19:31
 0  0      0 5039228 115504 1310436    0    0     0     4  820 5890  3  2 95  0  0 2021-12-09 10:19:32
 0  0      0 5039480 115540 1310540    0    0     0   764 1484 10393 11  5 79  5  0 2021-12-09 10:19:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5039480 115540 1310540    0    0     0     0  770 6017  3  4 94  0  0 2021-12-09 10:19:34
 0  0      0 5038976 115580 1310632    0    0     0   692 1553 11164 12  7 77  5  0 2021-12-09 10:19:35
 0  0      0 5038976 115580 1310636    0    0     0     0 1029 7092  7  4 89  0  0 2021-12-09 10:19:36
 1  0      0 5038968 115580 1310636    0    0     0     0  808 5324  3  2 95  0  0 2021-12-09 10:19:37
 0  0      0 5036676 115632 1310740    0    0     0   784 1392 11952 13  7 77  4  0 2021-12-09 10:19:38
 1  0      0 5036424 115632 1310748    0    0     0     0  865 6557  6  2 93  0  0 2021-12-09 10:19:39
 0  0      0 5036424 115660 1310832    0    0     0   672 1425 10602 12  8 76  5  0 2021-12-09 10:19:40
 0  0      0 5036172 115660 1310836    0    0     0     0  791 6431  7  3 91  0  0 2021-12-09 10:19:41
 0  0      0 5035920 115660 1310836    0    0     0     0  797 6282  4  3 93  0  0 2021-12-09 10:19:42
 0  0      0 5035416 115704 1310948    0    0     0   756 1504 11881 16 10 69  5  0 2021-12-09 10:19:43
 0  0      0 5035668 115704 1310948    0    0     0    28  979 7317  6  4 90  0  0 2021-12-09 10:19:44
 3  1      0 5035416 115728 1310964    0    0     0   700 1206 8835  9  4 83  3  0 2021-12-09 10:19:45
 0  0      0 5035416 115728 1311036    0    0     0    56  929 7145  9  4 87  0  0 2021-12-09 10:19:46
 0  0      0 5035164 115728 1311044    0    0     0     0  636 5430  4  2 94  0  0 2021-12-09 10:19:47
 0  0      0 5034400 115744 1311148    0    0     0   764 1353 10604 12  7 77  4  0 2021-12-09 10:19:48
 1  0      0 5033896 115744 1311148    0    0     0    28  926 7035  5  3 92  0  0 2021-12-09 10:19:49
 3  1      0 5033392 115752 1311192    0    0     0   544 1309 9675 10  4 83  4  0 2021-12-09 10:19:50
 0  0      0 5034936 115760 1311260    0    0     0   232 1218 9109  9  2 79 11  0 2021-12-09 10:19:51
 0  0      0 5035944 115760 1311260    0    0     0     0  995 7278  7  3 90  0  0 2021-12-09 10:19:52
 0  0      0 5035944 115776 1311352    0    0     0   676 1295 9551 11  4 82  4  0 2021-12-09 10:19:53
 0  0      0 5035960 115776 1311356    0    0     0     0  835 5939  5  4 92  0  0 2021-12-09 10:19:54
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5035692 115776 1311360    0    0     0     0  777 6482  4  3 93  0  0 2021-12-09 10:19:55
 0  0      0 5035440 115796 1311460    0    0     0   748 1234 9934 16  4 74  6  0 2021-12-09 10:19:56
 0  0      0 5035440 115796 1311460    0    0     0     0  944 6805  4  3 93  0  0 2021-12-09 10:19:57
 0  0      0 5035944 115824 1311548    0    0     0   708 1584 11676 11  6 79  4  0 2021-12-09 10:19:58
 0  0      0 5036196 115824 1311548    0    0     0    68  841 6200  6  3 91  0  0 2021-12-09 10:19:59
 3  0      0 5036196 115824 1311548    0    0     0     0  470 4488  4  1 94  0  0 2021-12-09 10:20:00
 0  1      0 5064168 115876 1311652    0    0     0   768 1365 10580 15  6 74  6  0 2021-12-09 10:20:01
 0  0      0 5064168 115876 1311656    0    0     0     4  910 6695  5  4 90  0  0 2021-12-09 10:20:02
 0  0      0 5064168 115908 1311720    0    0     0   720 1387 10546 11  6 78  6  0 2021-12-09 10:20:03
 0  0      0 5063412 115908 1311760    0    0     0   284  680 5783  6  3 91  0  0 2021-12-09 10:20:04
 2  0      0 5063160 115908 1311760    0    0     0     0  760 6007  3  3 94  0  0 2021-12-09 10:20:05
 0  0      0 5063160 115956 1311844    0    0     0   772 1753 12646 17  6 73  5  0 2021-12-09 10:20:06
 2  0      0 5063160 115956 1311844    0    0     0     0 1068 7017  5  4 91  0  0 2021-12-09 10:20:07
 7  1      0 5063160 115960 1311904    0    0     0   564 1047 9081 13  4 80  3  0 2021-12-09 10:20:08
 0  0      0 5062908 115968 1311952    0    0     0   148  948 7345  8  4 87  1  0 2021-12-09 10:20:09
 2  0      0 5062656 115968 1311952    0    0     0     0  742 5561  4  4 93  0  0 2021-12-09 10:20:10
